Country,R,G,B
Singapore,0.729411780834198,0.2235294133424759,0.20392157137393951
Slovakia,0.4627451002597809,0.16862745583057404,0.30588236451148987
Slovenia,0.2980392277240753,0.12352941930294037,0.1568627506494522
Solomon Islands,0.1882352977991104,0.5568627715110779,0.5803921818733215
Somalia,0.1411764770746231,0.16078431904315948,0.3764705955982208
South Africa,0.11764705926179886,0.20392157137393951,0.12156862765550613
South Korea,0.16470588743686676,0.24313725531101227,0.19607843458652496
South Sudan,0,0.0667,0.2706
Spain,0.529411792755127,0.09019608050584793,0.250980406999588
Sri Lanka,0.3803921639919281,0.10588235408067703,0.2235294133424759
St. Vincent and the Grenadines,0.1725490242242813,0.1882352977991104,0.22745098173618317
Sudan,0.2823529541492462,0.30980393290519714,0.3607843220233917
Suriname,0.3529411852359772,0.5215686559677124,0.5960784554481506
Sweden,0.3764705955982208,0.03529411926865578,0.08235294371843338
Switzerland,0.9490196108818054,0.4156862795352936,0.37254902720451355
Syria,0.07058823853731155,0.08235294371843338,0.12941177189350128
Taiwan,0.30588236451148987,0.46666666865348816,0.4627451002597809
Tajikistan,0.19607843458652496,0.16862745583057404,0.13725490868091583
Tanzania,0.32549020648002625,0.7058823704719543,0.6745098233222961
Thailand,0.32549020648002625,0.16862745583057404,0.1882352977991104
Timor-Leste,0.23137255012989044,0.1411764770746231,0.1725490242242813
Togo,0.4941176474094391,0.6509804129600525,0.7137255072593689
Tonga,0.2666666805744171,0.47843137383461,0.47058823704719543
Trinidad and Tobago,0.10980392247438431,0.14509804546833038,0.15294118225574493
Tunisia,0.16470588743686676,0.3019607961177826,0.32156863808631897
Turkey,0.2666666805744171,0.0,0.021568628028035164
Turkmenistan,0.07058823853731155,0.30980393290519714,0.0941176488995552
Tuvalu,0.4803921580314636,0.8156862854957581,0.9058823585510254
Uganda,0.29019609093666077,0.32549020648002625,0.3019607961177826
Ukraine,0.26274511218070984,0.32549020648002625,0.42352941632270813
United Arab Emirates,0.05882352963089943,0.11372549086809158,0.26274511218070984
United Kingdom,0.32156863808631897,0.10980392247438431,0.13725490868091583
United States of America,0.11372549086809158,0.125490203499794,0.20000000298023224
Uruguay,0.12156862765550613,0.16470588743686676,0.3529411852359772
Uzbekistan,0.14901961386203766,0.3137255012989044,0.2078431397676468
Vanuatu,0.1725490242242813,0.6274510025978088,0.3137255012989044
Vatican City,0.09019608050584793,0.29019609093666077,0.25882354378700256
Venezuela,0.14509804546833038,0.1725490242242813,0.24313725531101227
Viet Nam,0.062745101749897,0.0941176488995552,0.05882352963089943
Yemen,0.062745101749897,0.06666667014360428,0.16862745583057404
Zambia,0.23137255012989044,0.2235294133424759,0.20392157137393951
Zimbabwe,0.23529411852359772,0.29019609093666077,0.16862745583057404
